Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
1.330000,-0.189400,-0.189400,1.304915,0.000000,0.000000,1.028461
1.340000,-0.176259,-0.176259,1.323063,0.000000,0.000000,1.028461
1.350000,-0.162944,-0.162944,1.339870,0.000000,0.000000,1.028461
1.360000,-0.149466,-0.149466,1.355326,0.000000,0.000000,1.028461
1.370000,-0.135842,-0.135842,1.369421,0.000000,0.000000,1.028461
1.380000,-0.122083,-0.122083,1.382147,0.000000,0.000000,1.028461
1.390000,-0.108203,-0.108203,1.393496,0.000000,0.000000,1.028461
1.400000,-0.094217,-0.094217,1.403462,0.000000,0.000000,1.028461
1.410000,-0.080139,-0.080139,1.412037,0.000000,0.000000,1.028461
1.420000,-0.065981,-0.065981,1.419219,0.000000,0.000000,1.028461
1.430000,-0.051759,-0.051759,1.425002,0.000000,0.000000,1.028461
1.440000,-0.037486,-0.037486,1.429382,0.000000,0.000000,1.028461
1.450000,-0.023176,-0.023176,1.432359,0.000000,0.000000,1.028461
1.460000,-0.008843,-0.008843,1.433930,0.000000,0.000000,1.028461
1.470000,0.005498,0.005498,1.434094,0.000000,0.000000,1.028461
1.480000,0.019834,0.019834,1.432851,0.000000,0.000000,1.028461
1.490000,0.034150,0.034150,1.430203,0.000000,0.000000,1.028461
1.500000,0.048433,0.048433,1.426149,0.000000,0.000000,1.028461
1.510000,0.062669,0.062669,1.420693,0.000000,0.000000,1.028461
1.520000,0.076842,0.076842,1.413838,0.000000,0.000000,1.028461
1.530000,0.090941,0.090941,1.405587,0.000000,0.000000,1.028461
1.540000,0.104950,0.104950,1.395945,0.000000,0.000000,1.028461
1.550000,0.118855,0.118855,1.384918,0.000000,0.000000,1.028461
1.560000,0.132643,0.132643,1.372513,0.000000,0.000000,1.028461
1.570000,0.146301,0.146301,1.358736,0.000000,0.000000,1.028461
1.580000,0.159813,0.159813,1.343597,0.000000,0.000000,1.028461
1.590000,0.173168,0.173168,1.327104,0.000000,0.000000,1.028461
1.600000,0.186351,0.186351,1.309268,0.000000,0.000000,1.028461
1.610000,0.199349,0.199349,1.290101,0.000000,0.000000,1.028461
1.620000,0.212149,0.212149,1.269616,0.000000,0.000000,1.028461
1.630000,0.224737,0.224737,1.247827,0.000000,0.000000,1.028461
1.640000,0.237101,0.237101,1.224749,0.000000,0.000000,1.028461
1.650000,0.249228,0.249228,1.200398,0.000000,0.000000,1.028461
1.660000,0.261105,0.261105,1.174794,0.000000,0.000000,1.028461
1.670000,0.272719,0.272719,1.147954,0.000000,0.000000,1.028461
1.680000,0.284060,0.284060,1.119900,0.000000,0.000000,1.028461
1.690000,0.295114,0.295114,1.090655,0.000000,0.000000,1.028461
1.700000,0.305869,0.305869,1.060242,0.000000,0.000000,1.028461
1.710000,0.316315,0.316315,1.028687,0.000000,0.000000,1.028461
1.720000,0.326439,0.326439,0.996017,0.000000,0.000000,1.028461
1.730000,0.336231,0.336231,0.962261,0.000000,0.000000,1.028461
1.740000,0.345681,0.345681,0.927449,0.000000,0.000000,1.028461
1.750000,0.354777,0.354777,0.891613,0.000000,0.000000,1.028461
1.760000,0.363510,0.363510,0.854787,0.000000,0.000000,1.028461
1.770000,0.371869,0.371869,0.817006,0.000000,0.000000,1.028461
1.780000,0.379847,0.379847,0.778307,0.000000,0.000000,1.028461
1.790000,0.387433,0.387433,0.738730,0.000000,0.000000,1.028461
1.800000,0.394619,0.394619,0.698313,0.000000,0.000000,1.028461
1.810000,0.401396,0.401396,0.657100,0.000000,0.000000,1.028461
1.820000,0.407758,0.407758,0.615133,0.000000,0.000000,1.028461
1.830000,0.413697,0.413697,0.572457,0.000000,0.000000,1.028461
1.840000,0.419205,0.419205,0.529119,0.000000,0.000000,1.028461
1.850000,0.424277,0.424277,0.485167,0.000000,0.000000,1.028461
1.860000,0.428906,0.428906,0.440648,0.000000,0.000000,1.028461
1.870000,0.433088,0.433088,0.395614,0.000000,0.000000,1.028461
1.880000,0.436817,0.436817,0.350115,0.000000,0.000000,1.028461
1.890000,0.440089,0.440089,0.304204,0.000000,0.000000,1.028461
1.900000,0.442900,0.442900,0.257935,0.000000,0.000000,1.028461
1.910000,0.445247,0.445247,0.211360,0.000000,0.000000,1.028461
1.920000,0.447126,0.447126,0.164534,0.000000,0.000000,1.028461
1.930000,0.448537,0.448537,0.117513,0.000000,0.000000,1.028461
1.940000,0.449476,0.449476,0.070353,0.000000,0.000000,1.028461
1.950000,0.449944,0.449944,0.023109,0.000000,0.000000,1.028461
1.960000,0.449938,0.449938,-0.024162,0.000000,0.000000,1.028461
